Data,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado,Alvo,Total_Gols,Media_Gols_Mandante,Media_Gols_Visitante
2012-08-12,Portuguesa,Botafogo RJ,1.0,1.0,D,0.0,2.0,0.8,1.6666666666666667
2012-08-12,Fluminense,Palmeiras,1.0,0.0,H,1.0,1.0,1.7333333333333334,1.0
2012-08-12,Sao Paulo,Gremio,1.0,2.0,A,2.0,3.0,1.5333333333333334,1.4
2012-08-12,Flamengo RJ,Nautico,2.0,0.0,H,1.0,2.0,1.2857142857142858,1.3333333333333333
2012-08-12,Coritiba,Corinthians,1.0,2.0,A,2.0,3.0,1.5333333333333334,0.9333333333333333
2012-08-12,Atletico-MG,Vasco,1.0,0.0,H,1.0,1.0,1.8571428571428572,1.4666666666666666
2012-08-12,Internacional,Ponte Preta,2.0,1.0,H,1.0,3.0,1.2666666666666666,1.2
2012-08-15,Cruzeiro,Fluminense,1.0,1.0,D,0.0,2.0,1.3125,1.6875
2012-08-15,Gremio,Portuguesa,1.0,2.0,A,2.0,3.0,1.4375,0.8125
2012-08-16,Nautico,Sao Paulo,3.0,0.0,H,1.0,3.0,1.25,1.5
2012-08-16,Botafogo RJ,Sport Recife,2.0,0.0,H,1.0,2.0,1.625,0.8125
2012-08-16,Palmeiras,Flamengo RJ,1.0,0.0,H,1.0,1.0,0.9375,1.3333333333333333
2012-08-16,Atletico GO,Atletico-MG,1.0,1.0,D,0.0,2.0,1.0,1.8
2012-08-16,Ponte Preta,Bahia,0.0,2.0,A,2.0,2.0,1.1875,0.75
2012-08-17,Corinthians,Internacional,1.0,0.0,H,1.0,1.0,1.0,1.3125
2012-08-17,Figueirense,Santos,1.0,3.0,A,2.0,4.0,0.875,0.9375
2012-08-17,Vasco,Coritiba,2.0,2.0,D,0.0,4.0,1.375,1.5
2012-08-18,Fluminense,Sport Recife,1.0,0.0,H,1.0,1.0,1.6470588235294117,0.7647058823529411
2012-08-18,Nautico,Bahia,1.0,0.0,H,1.0,1.0,1.3529411764705883,0.8235294117647058
2012-08-19,Portuguesa,Internacional,1.0,1.0,D,0.0,2.0,0.8823529411764706,1.2352941176470589
2012-08-19,Flamengo RJ,Vasco,1.0,0.0,H,1.0,1.0,1.25,1.411764705882353
2012-08-19,Atletico GO,Palmeiras,2.0,1.0,H,1.0,3.0,1.0,0.9411764705882353
2012-08-19,Santos,Corinthians,3.0,2.0,H,1.0,5.0,1.0588235294117647,1.0
2012-08-19,Gremio,Figueirense,4.0,0.0,H,1.0,4.0,1.411764705882353,0.8823529411764706
2012-08-19,Coritiba,Cruzeiro,4.0,0.0,H,1.0,4.0,1.5294117647058822,1.2941176470588236
2012-08-19,Atletico-MG,Botafogo RJ,3.0,2.0,H,1.0,5.0,1.75,1.6470588235294117
2012-08-19,Sao Paulo,Ponte Preta,3.0,0.0,H,1.0,3.0,1.411764705882353,1.1176470588235294
2012-08-25,Palmeiras,Santos,1.0,2.0,A,2.0,3.0,0.9444444444444444,1.1666666666666667
2012-08-25,Vasco,Fluminense,1.0,2.0,A,2.0,3.0,1.3333333333333333,1.6111111111111112
2012-08-26,Sport Recife,Nautico,0.0,0.0,D,0.0,0.0,0.7222222222222222,1.3333333333333333
2012-08-26,Cruzeiro,Atletico-MG,2.0,2.0,D,0.0,4.0,1.2222222222222223,1.8235294117647058
2012-08-26,Bahia,Atletico GO,1.0,1.0,D,0.0,2.0,0.7777777777777778,1.0555555555555556
2012-08-26,Internacional,Gremio,0.0,1.0,A,2.0,1.0,1.2222222222222223,1.5555555555555556
2012-08-26,Figueirense,Coritiba,3.0,1.0,H,1.0,4.0,0.8333333333333334,1.6666666666666667
2012-08-26,Corinthians,Sao Paulo,1.0,2.0,A,2.0,3.0,1.0555555555555556,1.5
2012-08-26,Botafogo RJ,Flamengo RJ,0.0,0.0,D,0.0,0.0,1.6666666666666667,1.2352941176470589
2012-08-26,Ponte Preta,Portuguesa,2.0,1.0,H,1.0,3.0,1.0555555555555556,0.8888888888888888
2012-08-29,Coritiba,Internacional,1.0,0.0,H,1.0,1.0,1.631578947368421,1.1578947368421053
2012-08-29,Santos,Bahia,1.0,3.0,A,2.0,4.0,1.2105263157894737,0.7894736842105263
2012-08-30,Gremio,Vasco,2.0,0.0,H,1.0,2.0,1.5263157894736843,1.3157894736842106
2012-08-30,Atletico GO,Cruzeiro,0.0,2.0,A,2.0,2.0,1.0526315789473684,1.263157894736842
2012-08-30,Fluminense,Corinthians,1.0,1.0,D,0.0,2.0,1.631578947368421,1.0526315789473684
2012-08-30,Nautico,Figueirense,3.0,2.0,H,1.0,5.0,1.263157894736842,0.9473684210526315
2012-08-30,Atletico-MG,Ponte Preta,2.0,2.0,D,0.0,4.0,1.8333333333333333,1.105263157894737
2012-08-30,Portuguesa,Palmeiras,3.0,0.0,H,1.0,3.0,0.8947368421052632,0.9473684210526315
2012-08-31,Flamengo RJ,Sport Recife,1.0,1.0,D,0.0,2.0,1.1666666666666667,0.6842105263157895
2012-08-31,Sao Paulo,Botafogo RJ,4.0,0.0,H,1.0,4.0,1.5263157894736843,1.5789473684210527
2012-09-01,Figueirense,Fluminense,2.0,2.0,D,0.0,4.0,1.0,1.6
2012-09-01,Palmeiras,Gremio,0.0,0.0,D,0.0,0.0,0.9,1.55
2012-09-02,Botafogo RJ,Coritiba,2.0,0.0,H,1.0,2.0,1.5,1.6
2012-09-02,Ponte Preta,Atletico GO,3.0,1.0,H,1.0,4.0,1.15,1.0
2012-09-02,Cruzeiro,Nautico,3.0,0.0,H,1.0,3.0,1.3,1.35
2012-09-02,Sport Recife,Santos,2.0,1.0,H,1.0,3.0,0.7,1.2
2012-09-02,Corinthians,Atletico-MG,1.0,0.0,H,1.0,1.0,1.05,1.8421052631578947
2012-09-02,Internacional,Flamengo RJ,4.0,1.0,H,1.0,5.0,1.1,1.1578947368421053
2012-09-02,Bahia,Sao Paulo,1.0,0.0,H,1.0,1.0,0.9,1.65
2012-09-02,Vasco,Portuguesa,2.0,0.0,H,1.0,2.0,1.25,1.0
2012-09-05,Bahia,Atletico-MG,0.0,0.0,D,0.0,0.0,0.9047619047619048,1.75
2012-09-05,Flamengo RJ,Ponte Preta,0.0,1.0,A,2.0,1.0,1.15,1.2380952380952381
2012-09-05,Nautico,Vasco,1.0,1.0,D,0.0,2.0,1.2857142857142858,1.2857142857142858
2012-09-05,Portuguesa,Coritiba,3.0,0.0,H,1.0,3.0,0.9523809523809523,1.5238095238095237
2012-09-06,Sao Paulo,Internacional,1.0,1.0,D,0.0,2.0,1.5714285714285714,1.2380952380952381
2012-09-06,Figueirense,Corinthians,1.0,0.0,H,1.0,1.0,1.0476190476190477,1.0476190476190477
2012-09-06,Gremio,Atletico GO,2.0,1.0,H,1.0,3.0,1.4761904761904763,1.0
2012-09-06,Cruzeiro,Botafogo RJ,1.0,3.0,A,2.0,4.0,1.380952380952381,1.5238095238095237
2012-09-07,Fluminense,Santos,3.0,1.0,H,1.0,4.0,1.619047619047619,1.1904761904761905
2012-09-07,Palmeiras,Sport Recife,3.0,1.0,H,1.0,4.0,0.8571428571428571,0.7619047619047619
2012-09-08,Coritiba,Flamengo RJ,3.0,0.0,H,1.0,3.0,1.4545454545454546,1.0952380952380953
2012-09-08,Ponte Preta,Figueirense,2.0,2.0,D,0.0,4.0,1.2272727272727273,1.0454545454545454
2012-09-09,Atletico-MG,Palmeiras,3.0,0.0,H,1.0,3.0,1.6666666666666667,0.9545454545454546
2012-09-09,Vasco,Bahia,0.0,4.0,A,2.0,4.0,1.2727272727272727,0.8636363636363636
2012-09-09,Sport Recife,Cruzeiro,2.0,1.0,H,1.0,3.0,0.7727272727272727,1.3636363636363635
2012-09-09,Santos,Sao Paulo,0.0,0.0,D,0.0,0.0,1.1818181818181819,1.5454545454545454
2012-09-09,Internacional,Fluminense,0.0,1.0,A,2.0,1.0,1.2272727272727273,1.6818181818181819
2012-09-09,Botafogo RJ,Nautico,3.0,1.0,H,1.0,4.0,1.5909090909090908,1.2727272727272727
2012-09-09,Corinthians,Gremio,3.0,1.0,H,1.0,4.0,1.0,1.5
2012-09-09,Atletico GO,Portuguesa,1.0,1.0,D,0.0,2.0,1.0,1.0454545454545454
2012-09-12,Corinthians,Ponte Preta,1.0,1.0,D,0.0,2.0,1.0869565217391304,1.2608695652173914
2012-09-12,Figueirense,Cruzeiro,2.0,0.0,H,1.0,2.0,1.0869565217391304,1.3478260869565217
